source_sheet,schluter_item,description,instock_sku,special_order_sku,schluter_item_norm,description_norm
SPO,EV/Q45ACG,"QUADEC IN/OUT CORNER 3/16"" ALUM POLISH CHROME",,951500711,EV/Q45ACG,"QUADEC IN/OUT CORNER 3/16"" ALUM POLISH CHROME"
SPO,EV/Q45TSR,"QUADEC IN/OUT CORNER 3/16"" ALUM RUSTIC BROWN",,100388065,EV/Q45TSR,"QUADEC IN/OUT CORNER 3/16"" ALUM RUSTIC BROWN"
SPO,EV/Q45AE,"QUADEC IN/OUT CORNER 3/16"" ALUM SATIN",,951500658,EV/Q45AE,"QUADEC IN/OUT CORNER 3/16"" ALUM SATIN"
SPO,EV/Q45AT,"QUADEC IN/OUT CORNER 3/16"" ALUM SATIN NICKEL",,951500659,EV/Q45AT,"QUADEC IN/OUT CORNER 3/16"" ALUM SATIN NICKEL"
SPO,EV/Q45TSSG,"QUADEC IN/OUT CORNER 3/16"" ALUM STONE GREY",,100388099,EV/Q45TSSG,"QUADEC IN/OUT CORNER 3/16"" ALUM STONE GREY"
SPO,EV/Q45E,"QUADEC IN/OUT CORNER 3/16"" STN STEEL",,100126663,EV/Q45E,"QUADEC IN/OUT CORNER 3/16"" STN STEEL"
SPO,EV/Q200AE,"QUADEC IN/OUT CORNER 3/4"" ALUM SATIN",,951500708,EV/Q200AE,"QUADEC IN/OUT CORNER 3/4"" ALUM SATIN"
SPO,EV/Q100TSB,"QUADEC IN/OUT CORNER 3/8"" ALUM BEIGE",,951500836,EV/Q100TSB,"QUADEC IN/OUT CORNER 3/8"" ALUM BEIGE"
SPO,EV/Q100TSOB,"QUADEC IN/OUT CORNER 3/8"" ALUM BRONZE",,951500841,EV/Q100TSOB,"QUADEC IN/OUT CORNER 3/8"" ALUM BRONZE"
SPO,EV/Q100ATGB,"QUADEC IN/OUT CORNER 3/8"" ALUM BRUSH NICKEL",,100935865,EV/Q100ATGB,"QUADEC IN/OUT CORNER 3/8"" ALUM BRUSH NICKEL"
SPO,EV/Q100TSC,"QUADEC IN/OUT CORNER 3/8"" ALUM CREAM",,100388370,EV/Q100TSC,"QUADEC IN/OUT CORNER 3/8"" ALUM CREAM"
SPO,EV/Q100TSDA,"QUADEC IN/OUT CORNER 3/8"" ALUM DARK ANTHRACITE",,100388347,EV/Q100TSDA,"QUADEC IN/OUT CORNER 3/8"" ALUM DARK ANTHRACITE"
SPO,EV/Q100TSI,"QUADEC IN/OUT CORNER 3/8"" ALUM IVORY",,100388396,EV/Q100TSI,"QUADEC IN/OUT CORNER 3/8"" ALUM IVORY"
SPO,EV/Q100TSLA,"QUADEC IN/OUT CORNER 3/8"" ALUM LT ANTHRACITE",,100388354,EV/Q100TSLA,"QUADEC IN/OUT CORNER 3/8"" ALUM LT ANTHRACITE"
SPO,EV/Q100TSG,"QUADEC IN/OUT CORNER 3/8"" ALUM PEWTER",,951500840,EV/Q100TSG,"QUADEC IN/OUT CORNER 3/8"" ALUM PEWTER"
SPO,EV/Q100TSR,"QUADEC IN/OUT CORNER 3/8"" ALUM RUSTIC BROWN",,100388339,EV/Q100TSR,"QUADEC IN/OUT CORNER 3/8"" ALUM RUSTIC BROWN"
SPO,EV/Q100TSSG,"QUADEC IN/OUT CORNER 3/8"" ALUM STONE GREY",,100388362,EV/Q100TSSG,"QUADEC IN/OUT CORNER 3/8"" ALUM STONE GREY"
SPO,EV/Q100EB,"QUADEC IN/OUT CORNER 3/8"" BRUSH STN STEEL",,951502265,EV/Q100EB,"QUADEC IN/OUT CORNER 3/8"" BRUSH STN STEEL"
SPO,EV/Q100E,"QUADEC IN/OUT CORNER 3/8"" STN STEEL",,951502072,EV/Q100E,"QUADEC IN/OUT CORNER 3/8"" STN STEEL"
SPO,EV/Q80ABGB,"QUADEC IN/OUT CORNER 5/16"" ALUM ANTQ BRONZE",,951500824,EV/Q80ABGB,"QUADEC IN/OUT CORNER 5/16"" ALUM ANTQ BRONZE"
SPO,EV/Q80TSB,"QUADEC IN/OUT CORNER 5/16"" ALUM BEIGE",,951500843,EV/Q80TSB,"QUADEC IN/OUT CORNER 5/16"" ALUM BEIGE"
SPO,EV/Q80TSOB,"QUADEC IN/OUT CORNER 5/16"" ALUM BRONZE",,951500835,EV/Q80TSOB,"QUADEC IN/OUT CORNER 5/16"" ALUM BRONZE"
SPO,EV/Q80ATGB,"QUADEC IN/OUT CORNER 5/16"" ALUM BRUSH NICKEL",,100935857,EV/Q80ATGB,"QUADEC IN/OUT CORNER 5/16"" ALUM BRUSH NICKEL"
SPO,EV/Q80TSC,"QUADEC IN/OUT CORNER 5/16"" ALUM CREAM",,100388305,EV/Q80TSC,"QUADEC IN/OUT CORNER 5/16"" ALUM CREAM"
SPO,EV/Q80TSDA,"QUADEC IN/OUT CORNER 5/16"" ALUM DARK ANTHRACITE",,100388271,EV/Q80TSDA,"QUADEC IN/OUT CORNER 5/16"" ALUM DARK ANTHRACITE"
